qid	question	relevant	answers
8729	who set up the first stockyard for texas cattle in abilene kansas	21658	Joseph G. McCoy
3444	name the current speaker of the united states house of representatives	21702	Paul Ryan
3546	when did the us recognize texas as an independent nation	21735	March 1837
2594	when did the romans dominate the iberian peninsula	21984	27 BC
6611	when did the first amendent of the indian constitution carried out	22697	1951
6698	who was the president when the national anthem was written	23121	President James Madison
6985	who did mr drummond marry on diff'rent strokes	23200	Maggie
105	who sang the song i love to love	23241	Tina Charles
3107	when did labrador become a part of newfoundland	23260	1809
8040	when was show me the way to go home written	23670	1925
7007	when did season 5 of bates motel come out on netflix	24035	February 20 , 2017
5160	upon which document in american history is the language of the declaration of sentiments based	24194	United States Declaration of Independence
7093	when did kareem abdul jabbar reach 30000 points	24262	1983 -- 84
621	who has the tiger in the walking dead	24283	Ezekiel
5822	who won the stanley cup finals this year	24331	Washington Capitals
1547	what year did the first friends episode air	24457	1994
3057	what were the seven ancient wonders of the world	24642,24643	Colossus of Rhodes::Great Pyramid of Giza::Temple of Artemis::Lighthouse of Alexandria::Mausoleum at Halicarnassus::Hanging Gardens::Statue of Zeus
2315	where are faeces formed in the human body	24673	small intestine
6869	how many episodes in meteor garden 2018 season 1	24704	50
577	what was the name of bangladesh before independence	24730	East Pakistan
5411	who sings it all started with a beer	24988	Frankie Ballard
7690	who wrote the song the cowboy rides away	25155	Casey Kelly::Sonny Throckmorton
7275	where is west shamokin high school in pa	25159	in Rural Valley
6064	what is the head of a jail called	25369	warden
6505	how many american troops died in the korean war	25439	2,830 non-battle deaths::33,686 battle deaths
2907	the south carolina exposition and protest was published in response to the	25809	Tariff of 1828
6381	who sings just give me some kind of sign girl	25894	Brenton Wood
1493	who stars in the new movie breaking in	26068	Gabrielle Union::Billy Burke
3766	who forged the ring in lord of the rings	26142	Sauron the Dark Lord
6604	who served as pm of india for longest duration	26349	Jawaharlal Nehru
2196	who does the song rock you like a hurricane	26644	Scorpions
8465	what cover-up is the movie the post about	26674	the Pentagon Papers
119	how much does an arleigh burke destroyer cost	26708	US $1.843 billion
7029	who plays the demon in once more with feeling	26887	Hinton Battle
2713	who is the goddess of the moon in greek mythology	27136	Selene
8319	who is the winner of rising stars season 2	27246	Hemant Brijwasi
8359	what color wizards are in lord of the rings	27264	sea - blue::grey::brown::white
3775	what is the lining of the mouth called	27867	oral mucosa
7037	what kind of wood is used for pinewood derby cars	27906	pine
1671	a promise in exchange for a promise is an example of	27921	contract
4421	when do new episodes of bill maher air	27969	January 20 , 2017
335	when was the last western roman emperor overthrown	28160	31 October AD 475
5371	when do the 2018 stanley cup playoffs end	28476	June 7 , 2018
2395	who does fresno state play in the bowl game	28890	Houston Cougars
6825	how many episodes in season 2 sex and the city	28894	18
460	when does pam get pregnant for the second time	28928	beginning of Season 8
2679	which economic system relies on the interaction of buyers and sellers	28940	A market system
2555	when does the afc west play the nfc west	28962	2018
3510	how many albums has taylor swift sold overall	28977	over 40 million albums
5283	who was the first english mathematician who first used the modern symbol of quality in 1557	29017	Robert Recorde
6395	where do calluses on your feet come from	29024	pressure::repeated friction::other irritation
